service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
"558 Paediatric Hirschsprung's disease procedure a) Laparotomy, biopsy, colostomy 134,400",558 paediatric hirschsprung s disease procedure a laparotomy biopsy colostomy 134 400,SURGERY,,,included,,[],,,{},45,"558 Paediatric Hirschsprung's disease procedure a) Laparotomy, biopsy, colostomy 134,400","558 Paediatric Hirschsprung's disease procedure a) Laparotomy, biopsy, colostomy 134,400",enhanced_text,LOW,False
Paediatric,paediatric,SURGERY,,,included,,[],,,{},45,"558 Paediatric Hirschsprung's disease procedure a) Laparotomy, biopsy, colostomy 134,400","558 Paediatric Hirschsprung's disease procedure a) Laparotomy, biopsy, colostomy 134,400",enhanced_table_0_row_20,MEDIUM,
Hirschsprung's disease procedure b),hirschsprung s disease procedure b,SURGERY,,,included,,[],,,{},46,Hirschsprung's disease procedure b),Hirschsprung's disease procedure b),enhanced_text,LOW,False
Hirschsprung's disease procedure c) Closure of,hirschsprung s disease procedure c closure of,SURGERY,,,included,,[],,,{},46,Hirschsprung's disease procedure c) Closure of,Hirschsprung's disease procedure c) Closure of,enhanced_text,LOW,False
"563 Paediatric Laparotomy: Intestinal resection + anastomasis 134,400",563 paediatric laparotomy intestinal resection anastomasis 134 400,OTHER,,,included,,[],,,{},46,"563 Paediatric Laparotomy: Intestinal resection + anastomasis 134,400","563 Paediatric Laparotomy: Intestinal resection + anastomasis 134,400",enhanced_text,LOW,False
"567 Paediatric Rectosigmoidectomy 134,400",567 paediatric rectosigmoidectomy 134 400,OTHER,,,included,,[],,,{},46,"567 Paediatric Rectosigmoidectomy 134,400","567 Paediatric Rectosigmoidectomy 134,400",enhanced_text,LOW,False
"568 Paediatric Resection of posterior / anterior urethral valves 89,600",568 paediatric resection of posterior anterior urethral valves 89 600,OTHER,,,included,,[],,,{},46,"568 Paediatric Resection of posterior / anterior urethral valves 89,600","568 Paediatric Resection of posterior / anterior urethral valves 89,600",enhanced_text,LOW,False
"575 Plastic Lip reconstruction (ONLY for RTA and Tumors) 89,600",575 plastic lip reconstruction only for rta and tumors 89 600,ONCOLOGY,,,included,,[],,,{},46,"575 Plastic Lip reconstruction (ONLY for RTA and Tumors) 89,600","575 Plastic Lip reconstruction (ONLY for RTA and Tumors) 89,600",enhanced_text,LOW,False
Posterior Sagittal Anorectalplasty (PSARP) for anorectal malformation (High,posterior sagittal anorectalplasty psarp for anorectal malformation high,OTHER,,,included,,[],,,{},46,Posterior Sagittal Anorectalplasty (PSARP) for anorectal malformation (High,Posterior Sagittal Anorectalplasty (PSARP) for anorectal malformation (High,enhanced_text,LOW,False
Posterior Sagittal Anorectalplasty (PSARP) for anorectal malformation (Low,posterior sagittal anorectalplasty psarp for anorectal malformation low,OTHER,,,included,,[],,,{},47,Posterior Sagittal Anorectalplasty (PSARP) for anorectal malformation (Low,Posterior Sagittal Anorectalplasty (PSARP) for anorectal malformation (Low,enhanced_text,LOW,False
"578 Plastic Reduction Mammoplasty (bilateral) 168,000",578 plastic reduction mammoplasty bilateral 168 000,OTHER,,,included,,[],,,{},47,"578 Plastic Reduction Mammoplasty (bilateral) 168,000","578 Plastic Reduction Mammoplasty (bilateral) 168,000",enhanced_text,LOW,False
"588 Urological Bilateral modified inguinal node dissection 450,000",588 urological bilateral modified inguinal node dissection 450 000,OTHER,,,included,,[],,,{},47,"588 Urological Bilateral modified inguinal node dissection 450,000","588 Urological Bilateral modified inguinal node dissection 450,000",enhanced_text,LOW,False
"589 Urological Bilateral ochidectomy 44,800",589 urological bilateral ochidectomy 44 800,OTHER,,,included,,[],,,{},47,"589 Urological Bilateral ochidectomy 44,800","589 Urological Bilateral ochidectomy 44,800",enhanced_text,LOW,False
"590 Urological Bilateral radical inguinal node dissection 385,000",590 urological bilateral radical inguinal node dissection 385 000,OTHER,,,included,,[],,,{},47,"590 Urological Bilateral radical inguinal node dissection 385,000","590 Urological Bilateral radical inguinal node dissection 385,000",enhanced_text,LOW,False
"593 Urological Bladder augmentation surgery 325,000",593 urological bladder augmentation surgery 325 000,SURGERY,,,included,,[],,,{},47,"593 Urological Bladder augmentation surgery 325,000","593 Urological Bladder augmentation surgery 325,000",enhanced_text,LOW,False
"595 Urological Bladder diverticulectomy 295,000",595 urological bladder diverticulectomy 295 000,OTHER,,,included,,[],,,{},47,"595 Urological Bladder diverticulectomy 295,000","595 Urological Bladder diverticulectomy 295,000",enhanced_text,LOW,False
"600 Urological Creation of instestinal continent catherizable pouch 424,000",600 urological creation of instestinal continent catherizable pouch 424 000,OTHER,,,included,,[],,,{},48,"600 Urological Creation of instestinal continent catherizable pouch 424,000","600 Urological Creation of instestinal continent catherizable pouch 424,000",enhanced_text,LOW,False
"602 Urological Direct visual urethrotomy 56,000",602 urological direct visual urethrotomy 56 000,OTHER,,,included,,[],,,{},48,"602 Urological Direct visual urethrotomy 56,000","602 Urological Direct visual urethrotomy 56,000",enhanced_text,LOW,False
"607 Urological Female urethral diverticulectomy 320,000",607 urological female urethral diverticulectomy 320 000,OTHER,,,included,,[],,,{},48,"607 Urological Female urethral diverticulectomy 320,000","607 Urological Female urethral diverticulectomy 320,000",enhanced_text,LOW,False
"608 Urological Femoral hernia repair 180,000",608 urological femoral hernia repair 180 000,OTHER,,,included,,[],,,{},48,"608 Urological Femoral hernia repair 180,000","608 Urological Femoral hernia repair 180,000",enhanced_text,LOW,False
"610 Urological Flexible cystoscopy and surveillance for bladder cancer 33,600",610 urological flexible cystoscopy and surveillance for bladder cancer 33 600,ONCOLOGY,,,included,,[],,,{},48,"610 Urological Flexible cystoscopy and surveillance for bladder cancer 33,600","610 Urological Flexible cystoscopy and surveillance for bladder cancer 33,600",enhanced_text,LOW,False
"611 Urological Flexible ureterorenoscopy and laser ablation of ureteric or renal neoplasm 201,600",611 urological flexible ureterorenoscopy and laser ablation of ureteric or renal neoplasm 201 600,DIALYSIS,,,included,,[],,,{},48,"611 Urological Flexible ureterorenoscopy and laser ablation of ureteric or renal neoplasm 201,600","611 Urological Flexible ureterorenoscopy and laser ablation of ureteric or renal neoplasm 201,600",enhanced_text,LOW,False
"615 Urological Fournier's gangrene necrosectomy 180,000",615 urological fournier s gangrene necrosectomy 180 000,OTHER,,,included,,[],,,{},48,"615 Urological Fournier's gangrene necrosectomy 180,000","615 Urological Fournier's gangrene necrosectomy 180,000",enhanced_text,LOW,False
"617 Urological Hydrocelectomy 75,000",617 urological hydrocelectomy 75 000,OTHER,,,included,,[],,,{},48,"617 Urological Hydrocelectomy 75,000","617 Urological Hydrocelectomy 75,000",enhanced_text,LOW,False
"622 Urological Insertion of artificial urethral sphincter 1,200,000",622 urological insertion of artificial urethral sphincter 1 200 000,OTHER,,,included,,[],,,{},49,"622 Urological Insertion of artificial urethral sphincter 1,200,000","622 Urological Insertion of artificial urethral sphincter 1,200,000",enhanced_text,LOW,False
"624 Urological Intravesical instillation of chemotherapy for bladder cancer 45,000",624 urological intravesical instillation of chemotherapy for bladder cancer 45 000,ONCOLOGY,,,included,,[],,,{},49,"624 Urological Intravesical instillation of chemotherapy for bladder cancer 45,000","624 Urological Intravesical instillation of chemotherapy for bladder cancer 45,000",enhanced_text,LOW,False
"626 Urological Laparoscopic ablation of renal cyst 250,000",626 urological laparoscopic ablation of renal cyst 250 000,DIALYSIS,,,included,,[],,,{},49,"626 Urological Laparoscopic ablation of renal cyst 250,000","626 Urological Laparoscopic ablation of renal cyst 250,000",enhanced_text,LOW,False
"627 Urological Laparoscopic adrenalectomy 168,000",627 urological laparoscopic adrenalectomy 168 000,DIALYSIS,,,included,,[],,,{},49,"627 Urological Laparoscopic adrenalectomy 168,000","627 Urological Laparoscopic adrenalectomy 168,000",enhanced_text,LOW,False
"628 Urological Laparoscopic donor nephrectomy 200,000",628 urological laparoscopic donor nephrectomy 200 000,OTHER,,,included,,[],,,{},49,"628 Urological Laparoscopic donor nephrectomy 200,000","628 Urological Laparoscopic donor nephrectomy 200,000",enhanced_text,LOW,False
"630 Urological Laparoscopic partial nephrectomy 325,000",630 urological laparoscopic partial nephrectomy 325 000,OTHER,,,included,,[],,,{},49,"630 Urological Laparoscopic partial nephrectomy 325,000","630 Urological Laparoscopic partial nephrectomy 325,000",enhanced_text,LOW,False
"633 Urological Laparoscopic radical nephrectomy 280,000",633 urological laparoscopic radical nephrectomy 280 000,OTHER,,,included,,[],,,{},49,"633 Urological Laparoscopic radical nephrectomy 280,000","633 Urological Laparoscopic radical nephrectomy 280,000",enhanced_text,LOW,False
"634 Urological Laparoscopic radical nephroureterectomy 145,600",634 urological laparoscopic radical nephroureterectomy 145 600,OTHER,,,included,,[],,,{},49,"634 Urological Laparoscopic radical nephroureterectomy 145,600","634 Urological Laparoscopic radical nephroureterectomy 145,600",enhanced_text,LOW,False
"635 Urological Laparoscopic radical ochidectomy 134,400",635 urological laparoscopic radical ochidectomy 134 400,OTHER,,,included,,[],,,{},49,"635 Urological Laparoscopic radical ochidectomy 134,400","635 Urological Laparoscopic radical ochidectomy 134,400",enhanced_text,LOW,False
"636 Urological Laparoscopic radical prostatectomy 250,000",636 urological laparoscopic radical prostatectomy 250 000,OTHER,,,included,,[],,,{},49,"636 Urological Laparoscopic radical prostatectomy 250,000","636 Urological Laparoscopic radical prostatectomy 250,000",enhanced_text,LOW,False
"637 Urological Laparoscopic simple nephrectomy 145,600",637 urological laparoscopic simple nephrectomy 145 600,OTHER,,,included,,[],,,{},49,"637 Urological Laparoscopic simple nephrectomy 145,600","637 Urological Laparoscopic simple nephrectomy 145,600",enhanced_text,LOW,False
"639 Urological Laparoscopic varicocelectomy 56,000",639 urological laparoscopic varicocelectomy 56 000,OTHER,,,included,,[],,,{},50,"639 Urological Laparoscopic varicocelectomy 56,000","639 Urological Laparoscopic varicocelectomy 56,000",enhanced_text,LOW,False
"645 Urological Micturating cystourethrography 6,000",645 urological micturating cystourethrography 6 000,OTHER,,,included,,[],,,{},50,"645 Urological Micturating cystourethrography 6,000","645 Urological Micturating cystourethrography 6,000",enhanced_text,LOW,False
"647 Urological Open adrenalectomy 168,000",647 urological open adrenalectomy 168 000,DIALYSIS,,,included,,[],,,{},50,"647 Urological Open adrenalectomy 168,000","647 Urological Open adrenalectomy 168,000",enhanced_text,LOW,False
"649 Urological Open decortication of renal cyst 250,000",649 urological open decortication of renal cyst 250 000,DIALYSIS,,,included,,[],,,{},50,"649 Urological Open decortication of renal cyst 250,000","649 Urological Open decortication of renal cyst 250,000",enhanced_text,LOW,False
"650 Urological Open donor nephrectomy 200,000",650 urological open donor nephrectomy 200 000,OTHER,,,included,,[],,,{},50,"650 Urological Open donor nephrectomy 200,000","650 Urological Open donor nephrectomy 200,000",enhanced_text,LOW,False
"651 Urological Open drainage of renal abscess 89,600",651 urological open drainage of renal abscess 89 600,DIALYSIS,,,included,,[],,,{},50,"651 Urological Open drainage of renal abscess 89,600","651 Urological Open drainage of renal abscess 89,600",enhanced_text,LOW,False
"653 Urological Open partial nephrectomy 325,000",653 urological open partial nephrectomy 325 000,OTHER,,,included,,[],,,{},50,"653 Urological Open partial nephrectomy 325,000","653 Urological Open partial nephrectomy 325,000",enhanced_text,LOW,False
"656 Urological Open radical nephrectomy 280,000",656 urological open radical nephrectomy 280 000,OTHER,,,included,,[],,,{},50,"656 Urological Open radical nephrectomy 280,000","656 Urological Open radical nephrectomy 280,000",enhanced_text,LOW,False
"657 Urological Open radical nephrectomy with IVC thrombectomy 850,000",657 urological open radical nephrectomy with ivc thrombectomy 850 000,OTHER,,,included,,[],,,{},50,"657 Urological Open radical nephrectomy with IVC thrombectomy 850,000","657 Urological Open radical nephrectomy with IVC thrombectomy 850,000",enhanced_text,LOW,False
"658 Urological Open radical nephroureterectomy with bladder cuff 325,000",658 urological open radical nephroureterectomy with bladder cuff 325 000,OTHER,,,included,,[],,,{},50,"658 Urological Open radical nephroureterectomy with bladder cuff 325,000","658 Urological Open radical nephroureterectomy with bladder cuff 325,000",enhanced_text,LOW,False
"659 Urological Open radical prostatectomy 250,000",659 urological open radical prostatectomy 250 000,OTHER,,,included,,[],,,{},50,"659 Urological Open radical prostatectomy 250,000","659 Urological Open radical prostatectomy 250,000",enhanced_text,LOW,False
"661 Urological Open simple nephroureterectomy 145,600",661 urological open simple nephroureterectomy 145 600,OTHER,,,included,,[],,,{},51,"661 Urological Open simple nephroureterectomy 145,600","661 Urological Open simple nephroureterectomy 145,600",enhanced_text,LOW,False
"662 Urological Open simple prostatectomy 280,000",662 urological open simple prostatectomy 280 000,OTHER,,,included,,[],,,{},51,"662 Urological Open simple prostatectomy 280,000","662 Urological Open simple prostatectomy 280,000",enhanced_text,LOW,False
"665 Urological Open varicocelectomy 56,000",665 urological open varicocelectomy 56 000,OTHER,,,included,,[],,,{},51,"665 Urological Open varicocelectomy 56,000","665 Urological Open varicocelectomy 56,000",enhanced_text,LOW,False
"666 Urological Orthotopic neobladder reconstruction 424,000",666 urological orthotopic neobladder reconstruction 424 000,OTHER,,,included,,[],,,{},51,"666 Urological Orthotopic neobladder reconstruction 424,000","666 Urological Orthotopic neobladder reconstruction 424,000",enhanced_text,LOW,False
"667 Urological Partial cystectomy 223,000",667 urological partial cystectomy 223 000,OTHER,,,included,,[],,,{},51,"667 Urological Partial cystectomy 223,000","667 Urological Partial cystectomy 223,000",enhanced_text,LOW,False
"668 Urological Partial glansectomy 120,000",668 urological partial glansectomy 120 000,OTHER,,,included,,[],,,{},51,"668 Urological Partial glansectomy 120,000","668 Urological Partial glansectomy 120,000",enhanced_text,LOW,False
"669 Urological Partial penectomy 168,000",669 urological partial penectomy 168 000,OTHER,,,included,,[],,,{},51,"669 Urological Partial penectomy 168,000","669 Urological Partial penectomy 168,000",enhanced_text,LOW,False
"670 Urological Pelvic fracture urethral defect (PFUD) urethroplasty 398,000",670 urological pelvic fracture urethral defect pfud urethroplasty 398 000,OTHER,,,included,,[],,,{},51,"670 Urological Pelvic fracture urethral defect (PFUD) urethroplasty 398,000","670 Urological Pelvic fracture urethral defect (PFUD) urethroplasty 398,000",enhanced_text,LOW,False
"671 Urological Percutaneous ablation of renal cyst 280,000",671 urological percutaneous ablation of renal cyst 280 000,DIALYSIS,,,included,,[],,,{},51,"671 Urological Percutaneous ablation of renal cyst 280,000","671 Urological Percutaneous ablation of renal cyst 280,000",enhanced_text,LOW,False
"673 Urological Percutaneous drainage of renal abscess 89,600",673 urological percutaneous drainage of renal abscess 89 600,DIALYSIS,,,included,,[],,,{},51,"673 Urological Percutaneous drainage of renal abscess 89,600","673 Urological Percutaneous drainage of renal abscess 89,600",enhanced_text,LOW,False
"679 Urological Percutaneous resection and ablation of urothelial tumors 295,000",679 urological percutaneous resection and ablation of urothelial tumors 295 000,ONCOLOGY,,,included,,[],,,{},51,"679 Urological Percutaneous resection and ablation of urothelial tumors 295,000","679 Urological Percutaneous resection and ablation of urothelial tumors 295,000",enhanced_text,LOW,False
"688 Urological Radical cystoprostatectomy and ileal conduit INC ICU stay 850,000",688 urological radical cystoprostatectomy and ileal conduit inc icu stay 850 000,OTHER,,,included,,[],,,{},52,"688 Urological Radical cystoprostatectomy and ileal conduit INC ICU stay 850,000","688 Urological Radical cystoprostatectomy and ileal conduit INC ICU stay 850,000",enhanced_text,LOW,False
"689 Urological Radical inguinal ochidectomy 134,400",689 urological radical inguinal ochidectomy 134 400,OTHER,,,included,,[],,,{},52,"689 Urological Radical inguinal ochidectomy 134,400","689 Urological Radical inguinal ochidectomy 134,400",enhanced_text,LOW,False
"690 Urological Radical penectomy with perineal urethrostomy 450,000",690 urological radical penectomy with perineal urethrostomy 450 000,OTHER,,,included,,[],,,{},52,"690 Urological Radical penectomy with perineal urethrostomy 450,000","690 Urological Radical penectomy with perineal urethrostomy 450,000",enhanced_text,LOW,False
"691 Urological Radical urethrectomy 375,000",691 urological radical urethrectomy 375 000,OTHER,,,included,,[],,,{},52,"691 Urological Radical urethrectomy 375,000","691 Urological Radical urethrectomy 375,000",enhanced_text,LOW,False
"696 Urological Repair of fracture penis 246,400",696 urological repair of fracture penis 246 400,OTHER,,,included,,[],,,{},52,"696 Urological Repair of fracture penis 246,400","696 Urological Repair of fracture penis 246,400",enhanced_text,LOW,False
"702 Urological Retroperitoneal lymph node dissection 500,000",702 urological retroperitoneal lymph node dissection 500 000,DIALYSIS,,,included,,[],,,{},53,"702 Urological Retroperitoneal lymph node dissection 500,000","702 Urological Retroperitoneal lymph node dissection 500,000",enhanced_text,LOW,False
